horizon,target_threshold,learning_rate,num_leaves,best_iteration,n_features,train_samples,val_samples,test_samples,buy_threshold,sell_threshold,val_strategy_total_return,val_sharpe,trades_turnover_count,exposure_ratio,trades_per_day,constraint_passed,strategy_total_return,benchmark_total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,closed_trades,win_rate,avg_trade_return,median_trade_return,rmse,r2,correlation
2,0.0,0.01,127,177,85,121001,21354,35589,0.0002,0.0,1083958196157466.9,162228890859.59628,55509,-0.07900381203930053,24.95602573828992,True,1.1235514867728576e+36,0.5825832984804133,678407745186.72,0.5749423594649331,1179957841022.666,-0.08274611645104601,27755,0.6772473428211133,0.003853453016534114,0.0016571136088516791,0.0035041400286909283,0.44416018502958365,0.6670879915817239
2,0.0015,0.01,127,177,85,121001,21354,35589,0.0002,0.0,986137198103218.1,151420648759.05624,55587,-0.0794252905860425,24.991092753378854,True,1.0000578441430414e+36,0.5825832984804133,652972462935.0183,0.5746870840388006,1136222617613.122,-0.08274611645104579,27794,0.6760811685975391,0.003841127834650729,0.0016567252013209854,0.003504635650814421,0.4440029390351701,0.6669394016177003
2,0.001,0.01,127,177,85,121001,21354,35589,0.0002,0.0,846859482541751.9,135516762294.22617,55661,-0.07838564350407898,25.024361460001685,True,8.523742695790335e+35,0.5825832984804133,619612400517.2875,0.5748750088160366,1077821075912.4635,-0.0827461164510459,27831,0.673493586288671,0.003823984678479906,0.0016233809709829128,0.0035025014146274824,0.44467990968302484,0.6672410231570166
2,0.0003,0.01,127,176,85,121001,21354,35589,0.0002,0.0,933244998246691.4,145382848327.6381,55729,-0.08110183858308279,25.05493270392537,True,7.789934390810017e+35,0.5825832984804133,601573863970.1753,0.5751047059045135,1046024937361.6786,-0.0827461164510459,27865,0.675112147855733,0.003820056587309217,0.0016263315322306848,0.003507078349230224,0.4432276193851684,0.6662740421266907
2,0.0006,0.01,127,177,85,121001,21354,35589,0.0002,0.0,860756528315955.1,138275701326.24292,55717,-0.08174810568808714,25.04953777852707,True,7.48251109138628e+35,0.5825832984804133,593676783042.0865,0.5749064992096788,1032649280984.3185,-0.08274611645104579,27859,0.674539646074877,0.003814761105372151,0.0016304429567592926,0.0035068191298338607,0.4433099220041792,0.6663815396633154
2,0.0,0.02,127,89,85,121001,21354,35589,0.0002,0.0,766082261426689.1,125917130938.5119,54963,-0.08008092388097446,24.710556632667398,True,6.365947715032458e+35,0.5825832984804133,563010103210.2211,0.5758619481826341,977682420217.2548,-0.08274611645104579,27482,0.6720398806491522,0.0038324830499886597,0.0016372659459703565,0.0035118687248406003,0.4417055716189442,0.6649002682140139
2,0.0003,0.02,127,89,85,121001,21354,35589,0.0002,0.0,773998135841696.9,126879961001.78844,54961,-0.08007155769104686,24.709657478434348,True,6.3627601420283055e+35,0.5825832984804133,562917566644.1932,0.5758640233679062,977518205342.9968,-0.08274611645104579,27481,0.6720643353589753,0.0038326042487643913,0.0016367927240867886,0.0035118622727621077,0.44170762303740385,0.6649017547484682
2,0.0006,0.02,127,89,85,121001,21354,35589,0.0002,0.0,766082261426689.1,125917130938.5119,54961,-0.08009965626082965,24.709657478434348,True,6.3546617639437715e+35,0.5825832984804133,562682327211.8965,0.5758646293903766,977108678835.7965,-0.0827461164510459,27481,0.6720279465812743,0.003832583252222722,0.0016377391678539244,0.0035118470261874175,0.4417124706238329,0.6649054745798058
2,0.001,0.02,127,89,85,121001,21354,35589,0.0002,0.0,779528850085681.5,127536790155.23247,54961,-0.08009965626082965,24.709657478434348,True,6.3546617639437715e+35,0.5825832984804133,562682327211.8965,0.5758646293903766,977108678835.7965,-0.0827461164510459,27481,0.6720279465812743,0.003832583252222722,0.0016377391678539244,0.0035118827156612738,0.4417011232677094,0.6648973192524629
2,0.0015,0.02,127,90,85,121001,21354,35589,0.0002,0.0,819415360425007.2,132157657363.926,55207,-0.07919113583785252,24.82025344909944,True,5.449398746018838e+35,0.5825832984804133,535005841283.3716,0.5756426676676462,929406159989.9736,-0.08274611645104579,27604,0.6736704825387625,0.0038235669238184077,0.0016303658641445562,0.003511711262130579,0.44175563532561135,0.6651102614818091
2,0.0,0.01,63,198,85,121001,21354,35589,0.0002,0.0,592576364715978.6,104007892318.26453,53475,-0.07488268847115682,24.04158588327854,True,2.9315980396414492e+35,0.5825832984804133,436510738943.3192,0.5778142061132714,755451725355.7247,-0.0827461164510459,26738,0.6680005983992819,0.0038479322153240456,0.00159785088929143,0.003536668976734848,0.43379255886162127,0.6599671562352423
2,0.0,0.05,127,35,85,121001,21354,35589,0.0002,0.0,578212927828817.1,102572330397.81937,56175,-0.07882585443067615,25.255444097895417,True,2.8655862653167844e+35,0.5825832984804133,433260217710.3057,0.5760117804380414,752172494425.0673,-0.08502352195590213,28088,0.6706422671603531,0.0037439140282271664,0.0015665674862538337,0.0035145267888025446,0.4408601277741012,0.6642844921022575
